run,n_pos,n_neg,auc
0,2149,2149,0.5807964669886658
1,2149,2149,0.6053096195662632
2,2149,2149,0.603147189562607
3,2149,2149,0.620641464775723
4,2149,2149,0.6040251505763272
5,2149,2149,0.6108227336578982
6,2149,2149,0.6003906325167895
7,2149,2149,0.6014129158889295
8,2149,2149,0.6112508899878769
9,2149,2149,0.6168241383955203
10,2149,2149,0.6114361036811824
11,2149,2149,0.5951854061231165
12,2149,2149,0.6111282159832201
13,2149,2149,0.612229876652491
14,2149,2149,0.6088431119749071
15,2149,2149,0.6021465545442299
16,2149,2149,0.6224791694729348
17,2149,2149,0.5934727808032021
18,2149,2149,0.6053312679200262
19,2149,2149,0.5908172494082784
20,2149,2149,0.6196817210922316
21,2149,2149,0.6143947120287875
22,2149,2149,0.6123741990109107
23,2149,2149,0.611537129332076
24,2149,2149,0.5784656609001866
25,2149,2149,0.6022692285488868
26,2149,2149,0.596554063155464
27,2149,2149,0.6066590336174881
28,2149,2149,0.6213775088036639
29,2149,2149,0.5960224758019512
30,2149,2149,0.5984519021686839
31,2149,2149,0.5823262839879154
32,2149,2149,0.6054948332595687
33,2149,2149,0.5727721438605269
34,2149,2149,0.6110897300209749
35,2149,2149,0.5937975061096465
36,2149,2149,0.6042488502318779
37,2149,2149,0.5783453922681702
38,2149,2149,0.6056968845613563
39,2149,2149,0.598533684838455
40,2149,2149,0.5890420843997153
41,2149,2149,0.6021874458791155
42,2149,2149,0.5843876883406778
43,2149,2149,0.6026997902515058
44,2149,2149,0.607067946966344
45,2149,2149,0.6096200473377336
46,2149,2149,0.6151091077029653
47,2149,2149,0.628074066234341
48,2149,2149,0.5866944407027537
49,2149,2149,0.6155180210518213
50,2149,2149,0.5887534396828757
51,2149,2149,0.6111907556718686
52,2149,2149,0.5882651490368888
53,2149,2149,0.584243365982258
54,2149,2149,0.6016149671907172
55,2149,2149,0.6290121615640695
56,2149,2149,0.6025145765582003
57,2149,2149,0.6126796813362325
58,2149,2149,0.5988800584986625
59,2149,2149,0.6073325379567802
60,2149,2149,0.5967176284950065
61,2149,2149,0.6150874593492024
62,2149,2149,0.6142720380241307
63,2149,2149,0.605088325283353
64,2149,2149,0.5924312544499393
65,2149,2149,0.5874088363769314
66,2149,2149,0.6020647718744587
67,2149,2149,0.6141710123732369
68,2149,2149,0.6251731868301037
69,2149,2149,0.5859199107125677
70,2149,2149,0.583425539284546
71,2149,2149,0.6108636249927839
72,2149,2149,0.5921859064406257
73,2149,2149,0.6149070564011777
74,2149,2149,0.604270498585641
75,2149,2149,0.5979034772066889
76,2149,2149,0.6087613293051359
77,2149,2149,0.5938215598360498
78,2149,2149,0.6022283372140013
79,2149,2149,0.6034935632228146
80,2149,2149,0.6010232455211961
81,2149,2149,0.6290121615640695
82,2149,2149,0.6231935651471125
83,2149,2149,0.6288269478707642
84,2149,2149,0.584856736005542
85,2149,2149,0.6113759693651739
86,2149,2149,0.6055982642831027
87,2149,2149,0.5669511420709297
88,2149,2149,0.6225417091615834
89,2149,2149,0.6026156022090943
90,2149,2149,0.6093145650124117
91,2149,2149,0.6011651625069756
92,2149,2149,0.6083115246213944
93,2149,2149,0.6055357245944541
94,2149,2149,0.5922652837377567
95,2149,2149,0.6001260415263532
96,2149,2149,0.6091293513191064
97,2149,2149,0.5963496064810361
98,2149,2149,0.6326033829160813
99,2149,2149,0.6310326745819462
