code,preval_real,preval_teomim
R06,0.9418334108887855,0.88534
I10,0.8980921358771522,0.69998
E78,0.8822708236389019,0.7917
R05,0.7873429502093997,0.65426
Z23,0.7547696603071196,0.6235
J98,0.755700325732899,0.68156
R07,0.7384830153559795,0.64842
M25,0.7370870172173104,0.6822
Z01,0.7096323871568171,0.63828
Z12,0.708236389018148,0.61346
R91,0.6640297812936249,0.62378
M79,0.6896230805025594,0.60618
M54,0.6854350860865519,0.60948
J44,0.6649604467194044,0.60794
R09,0.658911121451838,0.58428
Z79,0.5946952070730572,0.59034
R53,0.6100511865984178,0.5356
K21,0.6095858538855281,0.52786
R10,0.5993485342019544,0.52974
H25,0.6756630991158679,0.55282
J18,0.6137738483015356,0.50466
I25,0.6254071661237784,0.53546
Z00,0.5346672871102839,0.45204
R94,0.5691019078641228,0.50492
J20,0.5160539785946953,0.41114
G47,0.5165193113075849,0.46508
E11,0.49371800837598884,0.45414
Z51,0.4872033503955328,0.40926
J96,0.47696603071195903,0.42308
M19,0.4490460679385761,0.38502
D64,0.43182875756165656,0.3723
I51,0.4471847370870172,0.3807
K57,0.432759422987436,0.36582
R93,0.46067938576081896,0.3708
I50,0.4560260586319218,0.38266
I49,0.4634713820381573,0.37386
E87,0.41042345276872966,0.37362
Z87,0.4169381107491857,0.36594
N39,0.429502093997208,0.32774
J30,0.3811074918566775,0.35516
R00,0.39087947882736157,0.34454
L82,0.42252210330386225,0.35446
L57,0.43973941368078173,0.3352
J06,0.36668217775709633,0.30694
J01,0.3569101907864123,0.32076
M51,0.39879013494648674,0.34844
R19,0.39367147510469985,0.32794
D12,0.38529548627268495,0.3215
M47,0.3811074918566775,0.34052
Z86,0.36668217775709633,0.33482
R60,0.3690088413215449,0.31844
I27,0.3592368543508609,0.32384
R42,0.3787808282922289,0.2878
D48,0.3643555141926477,0.28798
Z96,0.39087947882736157,0.31032
J45,0.3364355514192648,0.30848
Z98,0.3448115402512797,0.29666
E66,0.29781293624941835,0.2965
E03,0.3113075849232201,0.27298
M62,0.3145649139134481,0.28926
J43,0.32340623545835273,0.29846
J47,0.30479292694276405,0.29178
Z13,0.27780362959516053,0.26938
I34,0.3178222429036761,0.27158
L03,0.3220102373196836,0.27304
M17,0.31503024662633783,0.27364
H26,0.38436482084690554,0.28924
R11,0.2912982782689623,0.26334
F41,0.2922289436947417,0.2605
E55,0.24011167985109352,0.2491
R26,0.3113075849232201,0.26214
I70,0.33503955328059565,0.26142
I48,0.3127035830618892,0.26622
Z85,0.3136342484876687,0.26836
Z68,0.2764076314564914,0.26822
K29,0.28431828757561656,0.25658
G89,0.2940902745463006,0.2588
J40,0.30293159609120524,0.2368
F32,0.2596556537924616,0.24436
H35,0.2889716147045137,0.25692
B35,0.2847836202885063,0.2338
M89,0.2857142857142857,0.23222
N28,0.2964169381107492,0.25086
I65,0.30618892508143325,0.25394
R51,0.2805956258724988,0.21854
N40,0.30107026523964636,0.24452
D23,0.29455560725919033,0.24546
R73,0.24662633783154955,0.23402
H43,0.30107026523964636,0.2508
K64,0.2680316426244765,0.2279
M81,0.2601209865053513,0.22698
M48,0.2712889716147045,0.23636
J32,0.25779432294090276,0.22072
Z09,0.2899022801302932,0.2213
K59,0.26384364820846906,0.22648
R22,0.2768729641693811,0.21618
N18,0.2912982782689623,0.24172
H40,0.2694276407631456,0.24116
H90,0.2675663099115868,0.2287
L25,0.2889716147045137,0.20338
R13,0.2684969753373662,0.22396
I73,0.26384364820846906,0.2086
R50,0.22103303862261517,0.21724
H04,0.2391810144253141,0.22148
K44,0.2424383434155421,0.20776
R35,0.24569567240577012,0.213
R59,0.25779432294090276,0.2087
R63,0.2335970218706375,0.20212
M75,0.2652396463471382,0.20904
M12,0.2559329920893439,0.20576
I20,0.2480223359702187,0.2007
H52,0.2857142857142857,0.21248
