patient,QSTEPS_PER_MASKED_COL,orig_to_masked,orig_to_restored,restored_masked_dist_ratio
0,100,0.0025910927062831614,9.353557418911137e-05,0.03609889139137948
1,100,0.0030870994725966197,0.00017207542619631717,0.055740162480602276
2,100,0.0025048255606922583,9.758991067352916e-05,0.03896076126217678
3,100,0.0034659224025090987,0.0003698950124057802,0.10672339696295585
4,100,0.003161089390890094,0.00025999929777473354,0.08224990363259654
5,100,0.002880256935032949,0.00014374041711144315,0.04990541481320965
6,100,0.0029131852464916517,0.00020008907553974593,0.06868395196656757
7,100,0.0031513903842385056,0.00039598662365918335,0.12565457635451555
8,100,0.00277599635087327,7.99078627689267e-05,0.028785290997875187
9,100,0.002604917548166491,0.00023635749429679154,0.09073511538327007
10,100,0.003137215830363749,0.0002272132599889466,0.07242512860921081
11,100,0.002840325110907364,0.00011536973737899966,0.04061849713469734
12,100,0.0026597973561070212,0.00017870362372535064,0.06718693185969173
13,100,0.0029040433741753646,0.0002594516909217529,0.08934153436858605
14,100,0.0026148893624748175,7.860446522091669e-05,0.030060340735228213
15,100,0.002565878996891283,0.00014453285377282577,0.056328787892155494
16,100,0.002585142140126672,0.00012049949216220425,0.04661232753580806
17,100,0.0025938796072868756,0.00020899090069736843,0.08057077904088501
18,100,0.0026046448647974204,0.00011351998699995865,0.043583671821911814
19,100,0.002623373913199465,0.00027342569441782553,0.10422673376528158
20,100,0.0035133801935341965,0.0002738379637372333,0.0779414548534165
21,100,0.0014267010268096919,5.127391605980502e-05,0.03593879523200516
22,100,0.0025673905247980858,0.00016781619176244226,0.06536449758676284
23,100,0.0025024129799522165,0.00011537623034936335,0.046105991006954596
24,100,0.0029024781891973978,0.00010457748087460744,0.03603041058631539
25,100,0.0026028656636873154,0.00018053296535829437,0.06935930957825334
26,100,0.0005555000748131365,5.64520487630537e-05,0.10162383647210757
27,100,0.002515133571258679,0.00020608620642695793,0.08193847387748227
28,100,0.0035816466174367475,0.00027467604691312585,0.07668987933536038
29,100,0.002720574816672608,0.0001527299954345401,0.05613886980742405
30,100,0.002580520172379605,5.557975147774452e-05,0.021538196861484758
31,100,0.002519162523876931,9.534024844473895e-05,0.03784600935473293
32,100,0.0024992933508635887,0.00012516656548866982,0.050080782012011764
33,100,0.003027079837098082,0.00016776723884659607,0.05542213878555201
34,100,0.0014104578546524841,3.418147685647325e-05,0.02423431281106592
35,100,0.0027539669839846044,0.00013060591014120202,0.04742464630139958
36,100,0.0024540513719553333,8.768682164789131e-05,0.03573145315944402
37,100,0.00038962014470737225,3.732245538398396e-05,0.09579190370666109
38,100,0.001393748696044882,3.567489285554264e-05,0.02559635962837437
39,100,0.002896021329924971,0.00015373756099977738,0.053085783385359374
40,100,0.002406785027970127,0.00011121344508974431,0.04620830020018086
41,100,0.0028703123060355128,4.45182475609009e-05,0.01550989676882572
42,100,0.0027311546080491336,0.00011847923057246034,0.043380638438879945
43,100,0.000660480247690272,3.893294877155283e-05,0.058946424072034
44,100,0.0009056312235840398,1.9489700117549475e-05,0.02152056997374593
