code,preval_original,preval_restored
E78,0.712,0.698
I10,0.658,0.646
Z12,0.592,0.654
Z23,0.542,0.482
M25,0.584,0.562
Z01,0.524,0.572
R06,0.604,0.596
M54,0.494,0.46
Z00,0.488,0.48
M79,0.484,0.406
R07,0.5,0.458
R05,0.476,0.366
H25,0.416,0.414
R10,0.376,0.498
R53,0.378,0.404
Z79,0.42,0.436
K21,0.366,0.382
R94,0.354,0.258
J98,0.436,0.372
I25,0.394,0.326
E11,0.348,0.452
J84,0.512,0.536
J20,0.304,0.302
L82,0.294,0.288
N39,0.27,0.25
G47,0.352,0.348
R09,0.344,0.288
K57,0.26,0.284
M19,0.26,0.268
J44,0.342,0.274
D12,0.27,0.228
L57,0.296,0.318
J01,0.244,0.286
J06,0.254,0.196
Z51,0.294,0.284
R91,0.35,0.266
J30,0.276,0.246
D48,0.246,0.194
M51,0.254,0.23
J18,0.306,0.23
Z86,0.25,0.25
D64,0.242,0.242
R19,0.222,0.212
Z13,0.214,0.154
M47,0.244,0.282
I49,0.268,0.218
R00,0.196,0.154
E03,0.218,0.186
R42,0.236,0.256
M17,0.234,0.208
D23,0.176,0.144
E87,0.206,0.218
R93,0.246,0.252
L03,0.184,0.258
Z96,0.22,0.208
E66,0.222,0.228
E55,0.184,0.176
R60,0.222,0.156
Z87,0.242,0.242
K64,0.162,0.17
M89,0.176,0.134
H43,0.202,0.14
I51,0.208,0.194
Z85,0.21,0.192
M62,0.168,0.166
H26,0.178,0.192
H35,0.22,0.198
B35,0.204,0.208
R73,0.218,0.152
Z68,0.178,0.182
I50,0.242,0.218
H40,0.186,0.214
Z98,0.19,0.2
N40,0.166,0.228
R51,0.182,0.158
F41,0.192,0.188
L25,0.182,0.142
R11,0.154,0.124
K29,0.176,0.15
M81,0.154,0.16
I34,0.17,0.164
J45,0.186,0.218
J96,0.218,0.204
G89,0.186,0.15
R26,0.16,0.098
H90,0.156,0.12
N28,0.14,0.112
F32,0.2,0.13
R35,0.16,0.116
I65,0.16,0.122
N95,0.144,0.142
M75,0.154,0.126
H04,0.168,0.146
M48,0.154,0.128
J32,0.162,0.214
K59,0.138,0.11
I70,0.15,0.134
H52,0.166,0.172
J02,0.132,0.096
I48,0.178,0.15
J40,0.148,0.138
H61,0.124,0.178
M12,0.114,0.1
C44,0.156,0.212
R22,0.122,0.122
M99,0.154,0.174
R92,0.136,0.144
Z09,0.132,0.158
N18,0.136,0.146
K62,0.12,0.088
R78,0.124,0.094
I73,0.136,0.096
R20,0.1,0.102
R13,0.134,0.11
R55,0.114,0.076
L81,0.124,0.09
R31,0.136,0.156
R63,0.126,0.09
M50,0.114,0.216
I20,0.126,0.098
R50,0.138,0.098
M77,0.128,0.108
K44,0.126,0.084
I27,0.206,0.158
K76,0.112,0.116
H10,0.082,0.11
Z48,0.168,0.164
D50,0.114,0.078
J43,0.15,0.214
L98,0.096,0.068
I11,0.106,0.082
I67,0.144,0.202
J34,0.112,0.098
K92,0.102,0.122
R68,0.112,0.082
R41,0.128,0.098
L72,0.1,0.064
M20,0.068,0.088
M60,0.102,0.122
N17,0.122,0.094
L60,0.092,0.076
R21,0.112,0.07
M65,0.094,0.076
K63,0.11,0.11
I35,0.118,0.118
D72,0.138,0.086
R30,0.096,0.08
I95,0.15,0.11
Z78,0.108,0.084
R39,0.088,0.056
F17,0.094,0.07
S83,0.078,0.06
Z80,0.112,0.084
R59,0.134,0.092
J47,0.166,0.13
Z95,0.104,0.096
K22,0.106,0.134
E86,0.086,0.074
M15,0.088,0.078
M72,0.088,0.122
Z45,0.12,0.09
K52,0.114,0.076
D49,0.08,0.11
M16,0.092,0.076
H53,0.106,0.07
M70,0.118,0.09
H02,0.09,0.082
N63,0.092,0.13
N64,0.076,0.064
Z11,0.08,0.096
L90,0.1,0.076
J91,0.116,0.1
L85,0.094,0.066
Z47,0.076,0.058
G56,0.064,0.062
S43,0.072,0.062
E83,0.108,0.078
N20,0.066,0.084
R03,0.056,0.082
D22,0.08,0.09
B07,0.072,0.07
S09,0.072,0.076
B37,0.098,0.166
J31,0.076,0.06
S82,0.058,0.082
I36,0.106,0.09
A41,0.108,0.062
R97,0.066,0.066
K80,0.074,0.064
M43,0.088,0.08
E88,0.07,0.068
D18,0.06,0.054
N52,0.072,0.056
T14,0.068,0.05
I12,0.076,0.068
Z71,0.078,0.042
H01,0.082,0.066
Z99,0.11,0.048
Z46,0.088,0.052
R74,0.076,0.062
R29,0.078,0.036
R79,0.086,0.054
K31,0.076,0.05
G60,0.086,0.078
F43,0.092,0.05
J81,0.096,0.062
B02,0.066,0.06
M76,0.046,0.04
M10,0.072,0.056
M06,0.074,0.214
R01,0.056,0.048
N30,0.068,0.08
H93,0.058,0.044
L30,0.078,0.078
E10,0.076,0.094
S33,0.054,0.094
Z03,0.058,0.042
I87,0.084,0.056
E04,0.054,0.05
R40,0.08,0.05
N60,0.05,0.036
R04,0.09,0.06
I21,0.074,0.054
M46,0.052,0.034
M85,0.068,0.038
K20,0.064,0.044
I82,0.074,0.06
I63,0.076,0.06
I47,0.074,0.076
G93,0.054,0.06
D69,0.078,0.126
I42,0.08,0.056
E53,0.064,0.048
S93,0.05,0.038
F33,0.046,0.034
R69,0.054,0.044
S61,0.058,0.044
H16,0.058,0.034
I77,0.08,0.092
H92,0.052,0.036
M23,0.036,0.076
I44,0.066,0.07
H66,0.05,0.058
H11,0.048,0.062
I83,0.052,0.04
L29,0.086,0.06
S42,0.06,0.06
L21,0.05,0.046
D62,0.062,0.082
J15,0.08,0.07
N32,0.072,0.056
R14,0.07,0.058
H91,0.038,0.03
T78,0.038,0.032
H81,0.054,0.05
M53,0.062,0.04
R25,0.054,0.042
H69,0.048,0.064
R33,0.048,0.054
I71,0.058,0.042
L08,0.062,0.072
M21,0.06,0.046
R52,0.04,0.062
H60,0.066,0.05
Z20,0.048,0.032
M71,0.048,0.04
G25,0.056,0.056
N13,0.04,0.026
G43,0.04,0.03
B96,0.066,0.04
S99,0.03,0.066
G57,0.046,0.056
Z90,0.06,0.038
I45,0.054,0.044
M24,0.036,0.028
Z08,0.048,0.024
Z91,0.05,0.038
D63,0.042,0.022
T81,0.066,0.04
J90,0.056,0.036
K58,0.034,0.028
N36,0.034,0.02
N76,0.034,0.032
G31,0.04,0.03
R49,0.052,0.072
I26,0.074,0.082
L71,0.036,0.034
L97,0.052,0.058
M18,0.046,0.05
K56,0.052,0.036
D04,0.044,0.03
S13,0.026,0.018
C61,0.054,0.048
M35,0.054,0.046
H00,0.038,0.066
R45,0.044,0.028
I07,0.068,0.048
E07,0.034,0.026
H18,0.052,0.04
S01,0.03,0.02
B97,0.04,0.028
D68,0.07,0.052
K40,0.038,0.022
E29,0.052,0.044
Z88,0.042,0.028
H65,0.044,0.034
S22,0.04,0.032
K30,0.058,0.034
M67,0.046,0.03
E01,0.034,0.03
D13,0.048,0.038
D51,0.032,0.026
C50,0.042,0.068
R82,0.038,0.028
F34,0.05,0.038
S90,0.046,0.028
R27,0.04,0.028
J93,0.046,0.034
I08,0.026,0.026
H57,0.034,0.02
R32,0.024,0.032
S80,0.036,0.03
R23,0.032,0.016
M41,0.03,0.018
J10,0.032,0.022
R76,0.032,0.022
N41,0.026,0.036
J82,0.042,0.034
I69,0.042,0.032
L40,0.032,0.034
S39,0.032,0.02
I80,0.046,0.036
S20,0.03,0.02
J95,0.036,0.02
L20,0.038,0.03
E13,0.048,0.028
Z76,0.048,0.034
Z82,0.038,0.032
T82,0.046,0.026
R80,0.06,0.04
84.,0.0,0.0
D17,0.03,0.022
L84,0.03,0.02
M22,0.02,0.014
T50,0.042,0.03
G58,0.044,0.042
T07,0.036,0.03
R12,0.042,0.032
L50,0.056,0.084
G45,0.02,0.012
C34,0.052,0.028
S10,0.036,0.03
S60,0.028,0.02
J80,0.042,0.022
G62,0.03,0.022
Z74,0.034,0.014
N81,0.03,0.022
S70,0.026,0.018
J94,0.056,0.04
R87,0.024,0.02
S23,0.034,0.072
E05,0.022,0.018
L02,0.024,0.016
S29,0.03,0.032
S05,0.01,0.008
J38,0.034,0.024
I78,0.024,0.022
N19,0.046,0.02
S63,0.012,0.006
L89,0.036,0.024
M94,0.032,0.026
S32,0.026,0.016
R56,0.03,0.02
K43,0.022,0.04
F03,0.032,0.028
Z77,0.028,0.018
Z04,0.018,0.028
K82,0.03,0.022
E84,0.034,0.03
K81,0.028,0.024
K13,0.024,0.018
F51,0.046,0.052
J42,0.03,0.02
D25,0.018,0.02
J00,0.01,0.01
R16,0.02,0.01
T84,0.022,0.01
R47,0.02,0.014
H33,0.02,0.016
R65,0.044,0.022
B00,0.034,0.022
F06,0.028,0.016
Z94,0.046,0.03
J41,0.028,0.02
E16,0.038,0.038
S81,0.026,0.02
S69,0.03,0.024
D89,0.04,0.022
B95,0.022,0.02
G44,0.024,0.02
L66,0.016,0.05
Z92,0.016,0.008
F10,0.018,0.012
W19,0.02,0.002
D75,0.022,0.054
N50,0.028,0.018
K25,0.016,0.014
L28,0.018,0.016
Z02,0.022,0.02
K42,0.014,0.012
D53,0.02,0.048
S06,0.016,0.014
S31,0.022,0.016
H47,0.03,0.022
L91,0.018,0.008
J69,0.032,0.022
E46,0.034,0.032
M05,0.026,0.016
N42,0.026,0.044
K11,0.024,0.02
L56,0.028,0.02
I13,0.024,0.022
N89,0.024,0.02
Z83,0.03,0.024
I31,0.016,0.012
M80,0.02,0.012
M96,0.022,0.018
J04,0.016,0.016
F29,0.032,0.018
I99,0.032,0.016
K86,0.024,0.014
L73,0.012,0.008
D31,0.026,0.06
L53,0.032,0.008
Q76,0.024,0.018
C79,0.026,0.008
S49,0.018,0.01
M13,0.014,0.014
S59,0.016,0.014
D47,0.034,0.028
L70,0.008,0.006
Q61,0.018,0.01
D37,0.02,0.014
S40,0.018,0.008
S91,0.018,0.014
T85,0.014,0.004
D70,0.02,0.018
N83,0.006,0.006
E27,0.028,0.014
C80,0.022,0.01
I89,0.022,0.016
Z72,0.022,0.012
E92,0.016,0.01
G40,0.02,0.014
J39,0.02,0.014
M84,0.024,0.02
N94,0.01,0.008
T88,0.012,0.012
A04,0.024,0.012
H34,0.018,0.01
S79,0.016,0.008
I46,0.02,0.08
S30,0.014,0.012
R18,0.022,0.014
N25,0.022,0.016
C78,0.036,0.02
E89,0.014,0.018
I24,0.016,0.008
S02,0.014,0.01
Z41,0.004,0.002
K55,0.012,0.008
G97,0.03,0.02
S00,0.008,0.004
J11,0.014,0.008
M26,0.004,0.004
L65,0.012,0.01
I37,0.032,0.014
M32,0.026,0.028
D21,0.02,0.018
E08,0.022,0.018
N23,0.014,0.008
E21,0.016,0.048
K85,0.024,0.018
T86,0.032,0.018
S50,0.008,0.018
A09,0.018,0.016
I05,0.034,0.022
D61,0.018,0.012
K12,0.014,0.008
K75,0.008,0.002
K83,0.012,0.01
Z53,0.018,0.012
N85,0.016,0.01
G30,0.016,0.014
E06,0.02,0.014
M66,0.012,0.004
I97,0.02,0.014
C77,0.02,0.018
R61,0.02,0.012
S76,0.004,0.002
I74,0.018,0.016
T15,0.01,0.01
S92,0.01,0.002
H83,0.006,0.006
D36,0.018,0.01
